,ID_number,isbn,num_pages,year_first_published,cover_imgae_url,genres,average_rating,number_ratings,title
7,100462,0330260553,24,1980,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493168774l/100462._SX318_.jpg,[],4.67,3,Fabulous Beasts
8,266145,0965755622,224,2003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388380455l/266145.jpg,[],4.20,5,Accepted! 50 Successful Business School Admission Essays
9,137304,0821406639,0,1978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666105583l/137304._SY475_.jpg,"['Historical > Historical Fiction', 'Fiction', 'Classics', 'Young Adult', 'Literature', 'Novels', 'Cultural > Greece']",3.83,452,Alejandro el Grande
10,64667,0679720456,420,1987,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348692445l/64667.jpg,"['Music', 'Nonfiction', 'Writing > Essays', 'Writing > Journalism', 'Criticism', 'Culture > Pop Culture', 'Literature > 20th Century', 'Cultural', 'Music > Rock N Roll', 'Anthologies > Collections']",4.03,9091,Psychotic Reactions And Carburetor Dung
11,108301,0789496976,192,2004,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171581167l/108301._SX318_.jpg,"['LGBT > Gay', 'LGBT', 'Nonfiction', 'Romance > M M Romance', 'Sexuality', 'LGBT > Queer']",4.10,59,Ultimate Gay Sex
12,265266,1606237594,337,2005,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386642230l/265266.jpg,"['Parenting', 'Health > Mental Health', 'Nonfiction', 'Self Help']",4.02,46,Boys of Few Words: Raising Our Sons to Communicate and Connect
13,7891,0690135912,321,1952,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387750378l/7891.jpg,"['Classics', 'Young Adult', 'Fiction', 'Historical > Historical Fiction', 'Childrens', 'Historical', 'Travel', 'Childrens > Middle Grade', 'Romance', 'Childrens > Childrens Classics']",4.15,5148,Betsy and the Great World
14,72206,0345457145,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330919677l/72206.jpg,"['Science Fiction > Alternate History', 'Science Fiction', 'Fiction', 'Science Fiction > Time Travel', 'War > Military Fiction', 'Thriller', 'War', 'Historical > Historical Fiction', 'Fantasy', 'Action']",4.05,3374,Designated Targets
15,185006,1843402130,160,1999,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328856953l/185006.jpg,"['Crafts > Knitting', 'Art > Crafts', 'Nonfiction', 'Reference', 'Art']",3.88,162,"How to Knit: The Definitive Knitting Course Complete with Step-By-Step Techniques, Stitch Library, and Projects for Your Home and Family"
16,174069,0813912652,737,1971,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387743209l/174069.jpg,"['Biography', 'Politics > Presidents', 'History', 'Nonfiction', 'North American Hi... > American History', 'Presidents > Us Presidents', 'Politics', 'Military History > American Revolution', 'Biography Memoir', 'American Revolution > American Revolutionary War']",3.97,4134,James Madison: A Biography
